Gini Coefficient [-],Solar [GW],Onshore Wind [GW],Offshore Wind [GW],Hydrogen Storage (168h) [GW],Battery Storage (6h) [GW],Transmission Expansion [TWkm],Cost Penalty [%]
0.7142478968251826,461.957,299.781,400.046,65.903,121.266,616.3280826812733,4.0
0.7726417081078795,436.156,324.751,325.819,219.219,0.002,524.7980455360242,4.0
0.7435483441339796,272.172,471.487,368.171,97.642,16.944,616.6975215814026,4.0
0.7589926672547571,519.771,258.238,352.32,131.426,143.869,521.1006242309484,4.0
0.6846616847250291,520.049,280.801,403.37,155.547,38.698,403.2882911881625,4.0
0.7496513461336931,384.101,317.111,359.56899999999996,117.236,45.213,853.0669162919538,4.0
0.7161811978837384,452.712,0.0,576.471,138.412,50.084,583.8225251509355,5.0
0.7184608727121308,354.893,851.018,96.109,122.774,38.374,578.5791454297754,5.0
0.8084296235179973,48.756,375.813,446.977,143.866,11.366,610.2850956423222,5.0
0.6498584444233457,960.416,261.637,305.08,131.051,60.18,521.2795746060388,5.0
0.7233092505540963,775.474,82.327,414.837,147.499,69.513,567.8615337724567,5.0
0.7087304166858609,233.635,795.372,182.023,117.483,24.748,570.3036778257198,5.0
0.7066257268854074,516.381,790.791,65.115,138.765,46.691,588.0499169424954,5.0
0.7334772873895676,253.172,34.375,657.033,116.149,38.379,567.2297891316359,5.0
0.6899637237493548,410.278,381.833,356.887,156.299,0.0,601.1375636853825,5.0
0.7403935773288571,498.223,259.332,375.142,86.341,192.495,555.9816898084931,5.0
0.7128362872964745,487.176,284.703,407.935,60.144,139.533,619.0943845227238,5.0
0.7732014041429041,440.439,327.722,321.419,231.613,0.002,521.4447862688307,5.0
0.7447467716414207,251.551,499.182,366.77700000000004,97.846,12.119,624.7567709911247,5.0
0.7604247878928146,525.922,256.629,350.381,131.207,164.245,519.2344942486261,5.0
0.6669611192413589,533.519,289.006,405.055,158.879,37.315,390.9749473740303,5.0
0.7496468866369381,384.101,317.117,359.56500000000005,117.235,45.214,911.4574036986705,5.0
0.704625079245377,478.75,0.0,579.858,129.709,60.555,592.2130952876071,6.0
0.7173712559960104,349.179,908.119,72.46000000000001,122.445,38.418,579.9192272582687,6.0
0.8157167450298306,24.794,380.709,452.519,152.605,5.748,612.0750666846855,6.0
0.6414944477639251,1026.163,257.004,300.166,132.028,61.72,518.619994079957,6.0
0.715275592375022,819.935,77.36,408.972,151.672,76.159,566.9339493741521,6.0
0.7102456636084209,216.915,848.553,164.68,116.6,23.261,572.792004627011,6.0
0.7133411360466935,526.063,840.759,38.551,140.973,47.54,591.7092060373224,6.0
0.7318052434143296,232.532,30.864,678.073,114.378,37.749,567.2393529303334,6.0
0.6812938677001082,419.433,391.987,361.418,152.173,0.0,607.1447941149811,6.0
0.7397412576478872,499.564,254.946,378.184,83.222,214.281,555.0309105480598,6.0
0.7163436720765864,510.437,280.293,409.569,55.036,156.185,621.0121718286011,6.0
0.7722046398387685,443.242,331.082,317.66,243.603,0.003,518.2034854167713,6.0
0.7451662894880356,234.555,505.56,378.811,98.509,7.595,631.437221129208,6.0
0.7609201415923085,530.578,256.09,348.35,130.539,184.735,517.7372948819634,6.0
